Id,Date,DateLongDescription,DateShortDescription,DayLongName,DayShortName,MonthLongName,MonthShortName,CalendarDay,CalendarWeek,CalendarWeekStartDateId,CalendarWeekEndDateId,CalendarDayInWeek,CalendarMonth,CalendarMonthStartDateId,CalendarMonthEndDateId,CalendarNumberOfDaysInMonth,CalendarDayInMonth,CalendarQuarter,CalendarQuarterStartDateId,CalendarQuarterEndDateId,CalendarNumberOfDaysInQuarter,CalendarDayInQuarter,CalendarYear,CalendarYearStartDateId,CalendarYearEndDateId,CalendarNumberOfDaysInYear
"1","1989-12-31","Sunday, December 31, 1989","Dec 31, 1989","Sunday","Sun","December","Dec","365","52","undefined","1","7","12","undefined","1","31","31","4","undefined","1","92","92","1989","undefined","1","365"
"8871","1990-01-01","Monday, January 1, 1990","Jan 1, 1990","Monday","Mon","January","Jan","1","1","8871","8877","1","1","8871","8901","31","1","1","8871","9101","90","1","1990","8871","10001","365"
"8872","1990-01-02","Tuesday, January 2, 1990","Jan 2, 1990","Tuesday","Tue","January","Jan","2","1","8871","8877","2","1","8871","8901","31","2","1","8871","9101","90","2","1990","8871","10001","365"
"8873","1990-01-03","Wednesday, January 3, 1990","Jan 3, 1990","Wednesday","Wed","January","Jan","3","1","8871","8877","3","1","8871","8901","31","3","1","8871","9101","90","3","1990","8871","10001","365"
"8874","1990-01-04","Thursday, January 4, 1990","Jan 4, 1990","Thursday","Thu","January","Jan","4","1","8871","8877","4","1","8871","8901","31","4","1","8871","9101","90","4","1990","8871","10001","365"
"8875","1990-01-05","Friday, January 5, 1990","Jan 5, 1990","Friday","Fri","January","Jan","5","1","8871","8877","5","1","8871","8901","31","5","1","8871","9101","90","5","1990","8871","10001","365"
"8876","1990-01-06","Saturday, January 6, 1990","Jan 6, 1990","Saturday","Sat","January","Jan","6","1","8871","8877","6","1","8871","8901","31","6","1","8871","9101","90","6","1990","8871","10001","365"
"8877","1990-01-07","Sunday, January 7, 1990","Jan 7, 1990","Sunday","Sun","January","Jan","7","1","8871","8877","7","1","8871","8901","31","7","1","8871","9101","90","7","1990","8871","10001","365"
"8878","1990-01-08","Monday, January 8, 1990","Jan 8, 1990","Monday","Mon","January","Jan","8","2","8878","8884","1","1","8871","8901","31","8","1","8871","9101","90","8","1990","8871","10001","365"
"8879","1990-01-09","Tuesday, January 9, 1990","Jan 9, 1990","Tuesday","Tue","January","Jan","9","2","8878","8884","2","1","8871","8901","31","9","1","8871","9101","90","9","1990","8871","10001","365"
"8880","1990-01-10","Wednesday, January 10, 1990","Jan 10, 1990","Wednesday","Wed","January","Jan","10","2","8878","8884","3","1","8871","8901","31","10","1","8871","9101","90","10","1990","8871","10001","365"
"8881","1990-01-11","Thursday, January 11, 1990","Jan 11, 1990","Thursday","Thu","January","Jan","11","2","8878","8884","4","1","8871","8901","31","11","1","8871","9101","90","11","1990","8871","10001","365"
"8882","1990-01-12","Friday, January 12, 1990","Jan 12, 1990","Friday","Fri","January","Jan","12","2","8878","8884","5","1","8871","8901","31","12","1","8871","9101","90","12","1990","8871","10001","365"
"8883","1990-01-13","Saturday, January 13, 1990","Jan 13, 1990","Saturday","Sat","January","Jan","13","2","8878","8884","6","1","8871","8901","31","13","1","8871","9101","90","13","1990","8871","10001","365"
"8884","1990-01-14","Sunday, January 14, 1990","Jan 14, 1990","Sunday","Sun","January","Jan","14","2","8878","8884","7","1","8871","8901","31","14","1","8871","9101","90","14","1990","8871","10001","365"
"8885","1990-01-15","Monday, January 15, 1990","Jan 15, 1990","Monday","Mon","January","Jan","15","3","8885","8891","1","1","8871","8901","31","15","1","8871","9101","90","15","1990","8871","10001","365"
"8886","1990-01-16","Tuesday, January 16, 1990","Jan 16, 1990","Tuesday","Tue","January","Jan","16","3","8885","8891","2","1","8871","8901","31","16","1","8871","9101","90","16","1990","8871","10001","365"
"8887","1990-01-17","Wednesday, January 17, 1990","Jan 17, 1990","Wednesday","Wed","January","Jan","17","3","8885","8891","3","1","8871","8901","31","17","1","8871","9101","90","17","1990","8871","10001","365"
"8888","1990-01-18","Thursday, January 18, 1990","Jan 18, 1990","Thursday","Thu","January","Jan","18","3","8885","8891","4","1","8871","8901","31","18","1","8871","9101","90","18","1990","8871","10001","365"
"8889","1990-01-19","Friday, January 19, 1990","Jan 19, 1990","Friday","Fri","January","Jan","19","3","8885","8891","5","1","8871","8901","31","19","1","8871","9101","90","19","1990","8871","10001","365"
"8890","1990-01-20","Saturday, January 20, 1990","Jan 20, 1990","Saturday","Sat","January","Jan","20","3","8885","8891","6","1","8871","8901","31","20","1","8871","9101","90","20","1990","8871","10001","365"
"8891","1990-01-21","Sunday, January 21, 1990","Jan 21, 1990","Sunday","Sun","January","Jan","21","3","8885","8891","7","1","8871","8901","31","21","1","8871","9101","90","21","1990","8871","10001","365"
"8892","1990-01-22","Monday, January 22, 1990","Jan 22, 1990","Monday","Mon","January","Jan","22","4","8892","8898","1","1","8871","8901","31","22","1","8871","9101","90","22","1990","8871","10001","365"
"8893","1990-01-23","Tuesday, January 23, 1990","Jan 23, 1990","Tuesday","Tue","January","Jan","23","4","8892","8898","2","1","8871","8901","31","23","1","8871","9101","90","23","1990","8871","10001","365"
"8894","1990-01-24","Wednesday, January 24, 1990","Jan 24, 1990","Wednesday","Wed","January","Jan","24","4","8892","8898","3","1","8871","8901","31","24","1","8871","9101","90","24","1990","8871","10001","365"
"8895","1990-01-25","Thursday, January 25, 1990","Jan 25, 1990","Thursday","Thu","January","Jan","25","4","8892","8898","4","1","8871","8901","31","25","1","8871","9101","90","25","1990","8871","10001","365"
"8896","1990-01-26","Friday, January 26, 1990","Jan 26, 1990","Friday","Fri","January","Jan","26","4","8892","8898","5","1","8871","8901","31","26","1","8871","9101","90","26","1990","8871","10001","365"
"8897","1990-01-27","Saturday, January 27, 1990","Jan 27, 1990","Saturday","Sat","January","Jan","27","4","8892","8898","6","1","8871","8901","31","27","1","8871","9101","90","27","1990","8871","10001","365"
"8898","1990-01-28","Sunday, January 28, 1990","Jan 28, 1990","Sunday","Sun","January","Jan","28","4","8892","8898","7","1","8871","8901","31","28","1","8871","9101","90","28","1990","8871","10001","365"
"8899","1990-01-29","Monday, January 29, 1990","Jan 29, 1990","Monday","Mon","January","Jan","29","5","8899","8974","1","1","8871","8901","31","29","1","8871","9101","90","29","1990","8871","10001","365"
"8900","1990-01-30","Tuesday, January 30, 1990","Jan 30, 1990","Tuesday","Tue","January","Jan","30","5","8899","8974","2","1","8871","8901","31","30","1","8871","9101","90","30","1990","8871","10001","365"
"8901","1990-01-31","Wednesday, January 31, 1990","Jan 31, 1990","Wednesday","Wed","January","Jan","31","5","8899","8974","3","1","8871","8901","31","31","1","8871","9101","90","31","1990","8871","10001","365"
"8971","1990-02-01","Thursday, February 1, 1990","Feb 1, 1990","Thursday","Thu","February","Feb","32","5","8899","8974","4","2","8971","8998","28","1","1","8871","9101","90","32","1990","8871","10001","365"
"8972","1990-02-02","Friday, February 2, 1990","Feb 2, 1990","Friday","Fri","February","Feb","33","5","8899","8974","5","2","8971","8998","28","2","1","8871","9101","90","33","1990","8871","10001","365"
"8973","1990-02-03","Saturday, February 3, 1990","Feb 3, 1990","Saturday","Sat","February","Feb","34","5","8899","8974","6","2","8971","8998","28","3","1","8871","9101","90","34","1990","8871","10001","365"
"8974","1990-02-04","Sunday, February 4, 1990","Feb 4, 1990","Sunday","Sun","February","Feb","35","5","8899","8974","7","2","8971","8998","28","4","1","8871","9101","90","35","1990","8871","10001","365"
"8975","1990-02-05","Monday, February 5, 1990","Feb 5, 1990","Monday","Mon","February","Feb","36","6","8975","8981","1","2","8971","8998","28","5","1","8871","9101","90","36","1990","8871","10001","365"
"8976","1990-02-06","Tuesday, February 6, 1990","Feb 6, 1990","Tuesday","Tue","February","Feb","37","6","8975","8981","2","2","8971","8998","28","6","1","8871","9101","90","37","1990","8871","10001","365"
"8977","1990-02-07","Wednesday, February 7, 1990","Feb 7, 1990","Wednesday","Wed","February","Feb","38","6","8975","8981","3","2","8971","8998","28","7","1","8871","9101","90","38","1990","8871","10001","365"
"8978","1990-02-08","Thursday, February 8, 1990","Feb 8, 1990","Thursday","Thu","February","Feb","39","6","8975","8981","4","2","8971","8998","28","8","1","8871","9101","90","39","1990","8871","10001","365"
"8979","1990-02-09","Friday, February 9, 1990","Feb 9, 1990","Friday","Fri","February","Feb","40","6","8975","8981","5","2","8971","8998","28","9","1","8871","9101","90","40","1990","8871","10001","365"
"8980","1990-02-10","Saturday, February 10, 1990","Feb 10, 1990","Saturday","Sat","February","Feb","41","6","8975","8981","6","2","8971","8998","28","10","1","8871","9101","90","41","1990","8871","10001","365"
"8981","1990-02-11","Sunday, February 11, 1990","Feb 11, 1990","Sunday","Sun","February","Feb","42","6","8975","8981","7","2","8971","8998","28","11","1","8871","9101","90","42","1990","8871","10001","365"
"8982","1990-02-12","Monday, February 12, 1990","Feb 12, 1990","Monday","Mon","February","Feb","43","7","8982","8988","1","2","8971","8998","28","12","1","8871","9101","90","43","1990","8871","10001","365"
"8983","1990-02-13","Tuesday, February 13, 1990","Feb 13, 1990","Tuesday","Tue","February","Feb","44","7","8982","8988","2","2","8971","8998","28","13","1","8871","9101","90","44","1990","8871","10001","365"
"8984","1990-02-14","Wednesday, February 14, 1990","Feb 14, 1990","Wednesday","Wed","February","Feb","45","7","8982","8988","3","2","8971","8998","28","14","1","8871","9101","90","45","1990","8871","10001","365"
"8985","1990-02-15","Thursday, February 15, 1990","Feb 15, 1990","Thursday","Thu","February","Feb","46","7","8982","8988","4","2","8971","8998","28","15","1","8871","9101","90","46","1990","8871","10001","365"
"8986","1990-02-16","Friday, February 16, 1990","Feb 16, 1990","Friday","Fri","February","Feb","47","7","8982","8988","5","2","8971","8998","28","16","1","8871","9101","90","47","1990","8871","10001","365"
"8987","1990-02-17","Saturday, February 17, 1990","Feb 17, 1990","Saturday","Sat","February","Feb","48","7","8982","8988","6","2","8971","8998","28","17","1","8871","9101","90","48","1990","8871","10001","365"
"8988","1990-02-18","Sunday, February 18, 1990","Feb 18, 1990","Sunday","Sun","February","Feb","49","7","8982","8988","7","2","8971","8998","28","18","1","8871","9101","90","49","1990","8871","10001","365"
"8989","1990-02-19","Monday, February 19, 1990","Feb 19, 1990","Monday","Mon","February","Feb","50","8","8989","8995","1","2","8971","8998","28","19","1","8871","9101","90","50","1990","8871","10001","365"
"8990","1990-02-20","Tuesday, February 20, 1990","Feb 20, 1990","Tuesday","Tue","February","Feb","51","8","8989","8995","2","2","8971","8998","28","20","1","8871","9101","90","51","1990","8871","10001","365"
